Files	file_content	vessel_type	position_in_tube	time_in_water	slide_id
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0023_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0024_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0025_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0026_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0027_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0028_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_003_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_004_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_005_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_006_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_007_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_008_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_009_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0010_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0011_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0012_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0013_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0014_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0016_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0017_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0018_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0019_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0020_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0021_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0022_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0023_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0024_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/processed/s2-cr3-m-timelapse_0025_animation.mp4	movie of tracked cells with animated trajectories	pools	middle	21	S2-Cr3-M
